code NSF,code scolarité,sigle type formation,libellé type formation,libellé formation principal,sigle formation,durée,niveau de sortie indicatif,code RNCP,niveau de certification,libellé niveau de certification,tutelle,URL et ID Onisep,domaine/sous-domaine
200,,mastère spé.,mastère spécialisé,mastère spé. Supply Chain Design and Management (École des ponts ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2880,"logistique, transport/logistique"
200,1702010Z,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut des sciences et techniques des Yvelines de l'université de Versailles Saint-Quentin en Yvelines spécialité systèmes numériques pour l'industrie en partenariat avec l'ITII Ile de France,ISTY,3 ans,Bac + 5,38234.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6133,"mécanique/automatismes | matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/fonction production (généralités) | informatique, Internet/informatique industrielle et technologique | matières premières, fabrication, industries/maintenance, qualité | sciences/mathématiques | matières premières, fabrication, industries/méthodes industrialisation"
213,,mastère spé.,mastère spécialisé,"mastère spé. Forêt, nature et société - management international (AgroParisTech Campus de Montpellier et Nancy)",,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.775,"environnement, énergies, propreté/environnement (généralités) | agriculture, animaux/forêt"
220,,mastère spé.,mastère spécialisé,mastère spé. Design des matériaux et structures (Mines ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4591,"matières premières, fabrication, industries/matériaux | sciences/physique"
227,,mastère spé.,mastère spécialisé,mastère spé. Expert en sûreté nucléaire (Arts et Métiers ParisTech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2964,"environnement, énergies, propreté/déchets, pollutions et risques | environnement, énergies, propreté/énergies | armée, sécurité/sécurité, prévention"
227,17020025,,diplôme d'ingénieur,diplôme d'ingénieur de l'université Paris-XIII spécialité énergétique,Sup Galilée,3 ans,Bac + 5,12858.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6053,"environnement, énergies, propreté/énergies | construction, architecture, travaux publics/équipement technique"
231,17034101,,diplôme d'ingénieur,diplôme d'ingénieur de l'École des ingénieurs de la Ville de Paris spécialité génie urbain,EIVP,3 ans,Bac + 5,38094.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.8072,"environnement, énergies, propreté/aménagement du territoire | construction, architecture, travaux publics/architecture | environnement, énergies, propreté/environnement (généralités) | construction, architecture, travaux publics/génie civil | construction, architecture, travaux publics/génie civil, construction (généralités) | logistique, transport/transport | environnement, énergies, propreté/urbanisme"
232,,mastère spé.,mastère spécialisé,"mastère spé. BIM, conception intégrée et cycle de vie du bâtiment et des infrastructures (École des Ponts ParisTech)",,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.4590,"matières premières, fabrication, industries/études et développement | construction, architecture, travaux publics/génie civil, construction (généralités) | sciences/physique"
250,,mastère spé.,mastère spécialisé,mastère spé. Manager de projet en infrastructures de recharge et véhicules électriques et autonomes (Arts et Métiers Paris - ENSTA - Mines Paris),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2938,"gestion des entreprises, comptabilité/administration de l'entreprise | mécanique/automobile | électricité, électronique, robotique/électronique | électricité, électronique, robotique/électrotechnique | environnement, énergies, propreté/énergies | armée, sécurité/sécurité, prévention"
326,17032619,,diplôme d'ingénieur,diplôme d'ingénieur de CY Tech de CY Cergy Paris Université spécialité informatique,CY Tech,3 ans,Bac + 5,36424.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.7783,"mécanique/automatismes | informatique, Internet/bases de données | information-communication, audiovisuel/bibliothèque, documentation | informatique, Internet/développement, programmation, logiciel | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | informatique, Internet/informatique de gestion | information-communication, audiovisuel/multimédia | informatique, Internet/systèmes et réseaux | information-communication, audiovisuel/technologies de l'information"
