geo_point_2d;geo_shape;nature_l;sigle;secteur;code_postal;commune;academie;denom;nom_lycee;dept
48.89524553995784, 2.061578602839405;"{""coordinates"": [2.061578602839405, 48.89524553995784], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;78551;Saint-Germain-en-Laye;Versailles;LYCEE GENERAL;LYCÉE INTERNATIONAL;78
48.409736305257134, 2.736431448656886;"{""coordinates"": [2.736431448656886, 48.409736305257134], ""type"": ""Point""}";Lycée polyvalent;LGT;Public;77014;Avon;Créteil;LYCEE POLYVALENT;URUGUAY-FRANCE;77
48.75799768161875, 2.694950806768983;"{""coordinates"": [2.694950806768983, 48.75799768161875], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;77350;Ozoir-la-Ferrière;Créteil;LYCEE GENERAL ET TECHNO PRIVE;SAINTE-THÉRÈSE;77
48.69302569922458, 2.50338696958439;"{""coordinates"": [2.50338696958439, 48.69302569922458], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;91114;Brunoy;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;TALMA;91
48.90274459026618, 2.47333871089298;"{""coordinates"": [2.47333871089298, 48.90274459026618], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93010;Bondy;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;JEAN-RENOIR;93
48.546158020599655, 2.6595815062290797;"{""coordinates"": [2.65958150622908, 48.546158020599655], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;77288;Melun;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;JACQUES-AMYOT;77
48.78171309971966, 2.3163135801524763;"{""coordinates"": [2.316313580152476, 48.78171309971966], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;92014;Bourg-la-Reine;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;NOTRE-DAME;92
48.87648967893683, 2.367398838479423;"{""coordinates"": [2.367398838479423, 48.87648967893683], ""type"": ""Point""}";Lycée professionnel;LP;Public;75110;Paris 10e Arrondissement;Paris;LYCEE PROFESSIONNEL;GUSTAVE-FERRIE;75
48.852746951263676, 2.2749666059150204;"{""coordinates"": [2.27496660591502, 48.852746951263676], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;75116;Paris 16e Arrondissement;Paris;LYCEE POLYVALENT PRIVE;SAINTE-THÉRÈSE-FONDATION-D'AUTEUIL (TECH);75
48.913216363536904, 2.365018954913011;"{""coordinates"": [2.365018954913011, 48.913216363536904], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93066;Saint-Denis;Créteil;LYCEE POLYVALENT;"PLAINE-COMMUNE dit ""Angela-Davis""";93
49.002273348440255, 2.2819497690204837;"{""coordinates"": [2.281949769020484, 49.002273348440255], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;95369;Margency;Versailles;LYCEE GEN. ET TECHNOL. PRIVE;BURY-ROSAIRE;95
49.074224704008394, 2.072865693083733;"{""coordinates"": [2.072865693083733, 49.074224704008394], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;95476;Osny;Versailles;LYCEE POLYVALENT;PAUL-EMILE-VICTOR;95
48.89868107006825, 2.5112012325768958;"{""coordinates"": [2.511201232576896, 48.89868107006825], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93062;Le Raincy;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;ALBERT-SCHWEITZER;93
48.944771654591776, 2.5086697415759307;"{""coordinates"": [2.508669741575931, 48.944771654591776], ""type"": ""Point""}";Lycée professionnel;LP;Public;93005;Aulnay-sous-Bois;Créteil;LP LYCEE DES METIERS;VOILLAUME (PROFESSIONNEL);93
49.014223838772615, 2.213732519228165;"{""coordinates"": [2.213732519228165, 49.014223838772615], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;95607;Taverny;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;JACQUES-PRÉVERT;95
48.79584752281218, 2.5119401873265614;"{""coordinates"": [2.511940187326561, 48.79584752281218], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94068;Saint-Maur-des-Fossés;Créteil;LYCEE POLYVALENT;CONDORCET;94
48.879659675043875, 2.376628259512829;"{""coordinates"": [2.376628259512829, 48.879659675043875], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;75119;Paris 19e Arrondissement;Paris;LYCEE GEN.ET TECHNOL.PRIVE;LUCIEN-DE-HIRSCH;75
48.997956329517315, 1.6966592625740173;"{""coordinates"": [1.696659262574017, 48.997956329517315], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78361;Mantes-la-Jolie;Versailles;LYCEE POLYVALENT;JEAN-ROSTAND;78
48.86552796153245, 2.3848849974326027;"{""coordinates"": [2.384884997432603, 48.86552796153245], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;75120;Paris 20e Arrondissement;Paris;LYCEE GENERAL PRIVE;HEIKHAL-MENAHEM-SINAI;75
48.85804600845927, 2.397373573217069;"{""coordinates"": [2.397373573217069, 48.85804600845927], ""type"": ""Point""}";Lycée professionnel;LP;Public;75120;Paris 20e Arrondissement;Paris;LYCEE PROFESSIONNEL;CHARLES-DE-GAULLE;75
48.844184871908524, 2.3361444286054542;"{""coordinates"": [2.336144428605454, 48.844184871908524], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75106;Paris 6e Arrondissement;Paris;LYCEE GENERAL;MONTAIGNE;75
48.847242397828545, 2.2673643823887177;"{""coordinates"": [2.267364382388718, 48.847242397828545], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;75116;Paris 16e Arrondissement;Paris;LYCEE GENERAL ET TECHNOLOGIQUE;JEAN-BAPTISTE-SAY;75
48.88267926469439, 2.3762143938664146;"{""coordinates"": [2.376214393866415, 48.88267926469439], ""type"": ""Point""}";Lycée professionnel;LP;Public;75119;Paris 19e Arrondissement;Paris;LYCEE PROFESSIONNEL;ARMAND-CARREL;75
48.8372847820931, 2.285540293318468;"{""coordinates"": [2.285540293318468, 48.8372847820931], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;75115;Paris 15e Arrondissement;Paris;LYCEE POLYVALENT;DES-SCIENCES-ET-DU-NUMERIQUE-LOUIS-ARMAND;75
49.11622266657204, 2.224410548083045;"{""coordinates"": [2.224410548083045, 49.11622266657204], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;95313;L'Isle-Adam;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;FRAGONARD;95
48.86031470617503, 2.302600473550887;"{""coordinates"": [2.302600473550887, 48.86031470617503], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;75107;Paris 7e Arrondissement;Paris;LYCEE GENERAL PRIVE;ALMA;75
48.482819051266695, 2.333931357357991;"{""coordinates"": [2.333931357357991, 48.482819051266695], ""type"": ""Point""}";Lycée professionnel;LP;Public;91129;Cerny;Versailles;LP LYCEE DES METIERS;ALEXANDRE-DENIS;91
49.10165871562863, 2.5052084970198774;"{""coordinates"": [2.505208497019877, 49.10165871562863], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;95250;Fosses;Versailles;LYCEE POLYVALENT;CHARLES-BAUDELAIRE;95
48.82071542367244, 2.360339424421601;"{""coordinates"": [2.360339424421601, 48.82071542367244], ""type"": ""Point""}";Lycée professionnel;LP;Public;75113;Paris 13e Arrondissement;Paris;LYCEE PROFESSIONNEL;GASTON-BACHELARD;75
48.83014144207627, 2.350431991277164;"{""coordinates"": [2.350431991277164, 48.83014144207627], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;75113;Paris 13e Arrondissement;Paris;LYC POLYVAL PRIVE des METIERS;LE-REBOURS;75
48.91155516687995, 2.388730191896793;"{""coordinates"": [2.388730191896793, 48.91155516687995], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93001;Aubervilliers;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;HENRI-WALLON;93
48.86126927369391, 2.2724476463620347;"{""coordinates"": [2.272447646362035, 48.86126927369391], ""type"": ""Point""}";Lycée professionnel;LP;Public;75116;Paris 16e Arrondissement;Paris;LP LYCEE DES METIERS;OCTAVE-FEUILLET;75
48.784855823067396, 2.0503776701492455;"{""coordinates"": [2.050377670149246, 48.784855823067396], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78297;Guyancourt;Versailles;LPO LYCEE DES METIERS;HÔTELLERIE-ET-TOURISME;78
48.39536813912312, 2.9608095411843744;"{""coordinates"": [2.960809541184374, 48.39536813912312], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77305;Montereau-Fault-Yonne;Créteil;LPO LYCEE DES METIERS;ANDRÉ-MALRAUX;77
48.88863740660571, 2.596334607692524;"{""coordinates"": [2.596334607692524, 48.88863740660571], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;77108;Chelles;Créteil;LYCEE GENERAL PRIVE;GASNIER GUY-SAINTE-BATHILDE;77
48.82237633105115, 2.376297073157986;"{""coordinates"": [2.376297073157986, 48.82237633105115], ""type"": ""Point""}";Lycée professionnel;LP;Public;75113;Paris 13e Arrondissement;Paris;LP LYCEE DES METIERS;NICOLAS-LOUIS-VAUQUELIN;75
48.710160816953646, 2.3912397774103127;"{""coordinates"": [2.391239777410313, 48.710160816953646], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;91027;Athis-Mons;Versailles;LYCEE GEN. ET TECHNOL. PRIVE;SAINT-CHARLES;91
48.801671358890204, 2.40158519121924;"{""coordinates"": [2.40158519121924, 48.801671358890204], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94081;Vitry-sur-Seine;Créteil;LPO LYCEE DES METIERS;JEAN-MACÉ;94
