Identifiant action de formation;Enseignements de spécialité de classe de 1ère générale;Identifiant et fiche onisep lieu de cours;Libellé lieu de cours;Adresse lieu de cours;Code postal lieu de cours;Commune lieu de cours;Département lieu de cours;Région lieu de cours;Académie lieu de cours
AF.26260;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6445;Lycée polyvalent privé Saint Benoist de l'Europe;82 avenue Gambetta;93170;Bagnolet;Seine-Saint-Denis;Ile-de-France;Créteil
AF.29368;Sciences économiques et sociales / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15152;Lycée polyvalent privé La Salle Saint-Denis;6-8 place de la Résistance;93200;Saint-Denis;Seine-Saint-Denis;Ile-de-France;Créteil
AF.29411;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18718;Lycée d'Etat de Sourdun - internat d'excellence;100 rue de Paris;77171;Sourdun;Seine-et-Marne;Ile-de-France;Créteil
AF.29497;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19136;Lycée médico-pédagogique Dupré Annexe du Lycée Lakanal;30 avenue Franklin Roosevelt;92330;Sceaux;Hauts-de-Seine;Ile-de-France;Versailles
AF.29538;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7205;Lycée Saint-Louis Saint-Clément;1 rue Margot;91170;Viry-Châtillon;Essonne;Ile-de-France;Versailles
AF.29572;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17790;Lycée Samuel Beckett;19 rue du Lion;77260;La Ferté-sous-Jouarre;Seine-et-Marne;Ile-de-France;Créteil
AF.29614;Sciences économiques et sociales / Arts : musique / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9551;Institut national des jeunes aveugles;56 boulevard des Invalides;75007;Paris;Paris;Ile-de-France;Paris
AF.29642;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10054;Lycée général privé Fénelon;1 rue de Montauban;93410;Vaujours;Seine-Saint-Denis;Ile-de-France;Créteil
AF.32930;Sciences économiques et sociales / LLCER espagnol / Arts : théâtre / Humanités, littérature et philosophie / Arts : cinéma - audiovisuel / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.873;Lycée Louise Michel;70 avenue Jean Jaurès;93000;Bobigny;Seine-Saint-Denis;Ile-de-France;Créteil
AF.17895;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15317;Lycée polyvalent Nicolas-Joseph Cugnot;55 bld Louis Armand;93330;Neuilly-sur-Marne;Seine-Saint-Denis;Ile-de-France;Créteil
AF.23478;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18026;Lycée Saint-Augustin;39 rue Grande Fontaine;78100;Saint-Germain-en-Laye;Yvelines;Ile-de-France;Versailles
AF.80932;Sciences économiques et sociales / Humanités, littérature et philosophie / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10513;Lycée privé Lucien de Hirsch;12-14 rue Henri Murger;75019;Paris;Paris;Ile-de-France;Paris
AF.81064;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1653;Lycée Léopold Sédar Senghor;Place Pierre Bérégovoy;78200;Magnanville;Yvelines;Ile-de-France;Versailles
AF.81089;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14191;Lycée Condorcet;Allée Condorcet;78520;Limay;Yvelines;Ile-de-France;Versailles
AF.81122;Sciences économiques et sociales / Humanités, littérature et philosophie / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Histoire-géographie, géopolitique et sciences politiques;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4846;Lycée privé Morvan;68 rue de la Chaussée d'Antin;75009;Paris;Paris;Ile-de-France;Paris
AF.81127;Sciences économiques et sociales / Arts : histoire des arts / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Sciences de l'ingénieur / Numérique et sciences informatiques;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1424;Lycée polyvalent Simone Veil;1 avenue Pierre Mendès France;77186;Noisiel;Seine-et-Marne;Ile-de-France;Créteil
AF.35205;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5136;Lycée général privé Saint-Louis Sainte-Clotilde;37 allée La Fontaine;93340;Le Raincy;Seine-Saint-Denis;Ile-de-France;Créteil
AF.35259;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1412;Campus scolaire de Coulommiers;6 rue des templiers;77527;Coulommiers;Seine-et-Marne;Ile-de-France;Créteil
