n°UAI de l'établissement;Libellé de l'établissement;Région;Niveau de formation;;Taux de poursuite d'études;Taux d'emploi 6 mois après la sortie
0750553U;Lycée professionel Gaston Bachelard;ILE-DE-FRANCE;CAP;51;88;
0750558Z;Lycée polyvalent Paul Poiret;ILE-DE-FRANCE;BAC;29;65;
0750558Z;Lycée polyvalent Paul Poiret;ILE-DE-FRANCE;CAP;36;85;
0750588G;Lycée professionnel René Cassin - Lycée des métiers de la communication de la gestion et du management d'entreprise;ILE-DE-FRANCE;BAC;;49;29
0750588G;Lycée professionnel René Cassin - Lycée des métiers de la communication de la gestion et du management d'entreprise;ILE-DE-FRANCE;BTS;36;44;59
0750612H;Lycée technologique Ecole Nationale Supérieure des Arts Appliqués;ILE-DE-FRANCE;BTS;42;77;15
0750647W;Lycée général et technologique Turgot;ILE-DE-FRANCE;BTS;;48;49
0750650Z;Lycée polyvalent d'Alembert - Lycée des métiers de la mode;ILE-DE-FRANCE;BAC;24;58;38
0750650Z;Lycée polyvalent d'Alembert - Lycée des métiers de la mode;ILE-DE-FRANCE;BTS;31;19;60
0750650Z;Lycée polyvalent d'Alembert - Lycée des métiers de la mode;ILE-DE-FRANCE;CAP;26;66;
0750651A;Lycée polyvalent Simone Weil;ILE-DE-FRANCE;BAC;32;51;36
0750651A;Lycée polyvalent Simone Weil;ILE-DE-FRANCE;BTS;36;43;57
0750653C;Lycée général et technologique Sophie Germain;ILE-DE-FRANCE;BTS;40;54;44
0750664P;Lycée général et technologique Racine;ILE-DE-FRANCE;BTS;11;57;55
0750671X;Lycée polyvalent Edgar Quinet;ILE-DE-FRANCE;BAC;29;44;20
0750671X;Lycée polyvalent Edgar Quinet;ILE-DE-FRANCE;BTS;27;43;55
0750672Y;Lycée technologique Duperré Ecole Supérieure des Arts Appliqués;ILE-DE-FRANCE;BTS;36;82;
0750674A;Lycée technologique Jules Siegfried;ILE-DE-FRANCE;BTS;;43;52
0750676C;Lycée polyvalent Dorian - Lycée des métiers de la mécatronique, de la topographie et de la verrerie;ILE-DE-FRANCE;BAC;26;48;50
0750676C;Lycée polyvalent Dorian - Lycée des métiers de la mécatronique, de la topographie et de la verrerie;ILE-DE-FRANCE;BTS;28;43;55
0750676C;Lycée polyvalent Dorian - Lycée des métiers de la mécatronique, de la topographie et de la verrerie;ILE-DE-FRANCE;CAP;56;76;
0750677D;Lycée polyvalent Elisa Lemonnier;ILE-DE-FRANCE;BAC;31;47;42
0750677D;Lycée polyvalent Elisa Lemonnier;ILE-DE-FRANCE;BTS;33;36;58
0750677D;Lycée polyvalent Elisa Lemonnier;ILE-DE-FRANCE;CAP;27;47;32
0750677D;Lycée polyvalent Elisa Lemonnier;ILE-DE-FRANCE;MC5;36;27;55
0750680G;Lycée général et technologique Arago;ILE-DE-FRANCE;BTS;17;41;41
0750681H;Lycée Polyvalent Boulle - Lycée des métiers d'art, d'architecture intérieure et du design;ILE-DE-FRANCE;BTS;35;73;
0750681H;Lycée Polyvalent Boulle - Lycée des métiers d'art, d'architecture intérieure et du design;ILE-DE-FRANCE;CAP;28;65;67
0750685M;Lycée général et technologique Pierre-Gilles de Gennes;ILE-DE-FRANCE;BTS;10;54;38
0750686N;Ecole Estienne Ecole supérieure des Arts et Industries Graphiques;ILE-DE-FRANCE;BTS;21;59;36
0750688R;Lycée général et technologique Rabelais;ILE-DE-FRANCE;BTS;26;33;50
0750690T;Lycée général et technologique François Villon;ILE-DE-FRANCE;BTS;40;33;52
0750691U;Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement;ILE-DE-FRANCE;BAC;47;63;51
0750691U;Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement;ILE-DE-FRANCE;BTS;53;43;59
0750691U;Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement;ILE-DE-FRANCE;MC4;34;26;54
0750692V;Lycée général et technologique Emile Dubois;ILE-DE-FRANCE;BTS;63;49;56
0750695Y;Lycée polyvalent Fresnel - Lycée des métiers de l'optique;ILE-DE-FRANCE;BAC;20;75;
0750695Y;Lycée polyvalent Fresnel - Lycée des métiers de l'optique;ILE-DE-FRANCE;BTS;30;34;78
0750696Z;Lycée général et technologique Roger Verlomme;ILE-DE-FRANCE;BTS;27;48;53
0750697A;Lycée Technologique Bâtiment-Saint Lambert;ILE-DE-FRANCE;BTS;22;41;61
0750705J;Lycée général et technologique Honoré de Balzac;ILE-DE-FRANCE;BTS;36;47;48
0750707L;Lycée technologique Ecole Nationale de Commerce;ILE-DE-FRANCE;BTS;28;48;54
0750708M;Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BAC;22;64;29
0750708M;Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BTS;47;59;50
0750708M;Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;MC4;17;;
0750708M;Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;MC5;;10;
0750710P;Lycée technologique Auguste Renoir - Lycée des métiers de la photographie et de l'image;ILE-DE-FRANCE;BTS;35;41;
0750711R;Lycée général et technologique Henri Bergson;ILE-DE-FRANCE;BTS;;36;49
0750712S;Lycée polyvalent Diderot;ILE-DE-FRANCE;BAC;40;58;30
0750712S;Lycée polyvalent Diderot;ILE-DE-FRANCE;BTS;23;54;43
0750712S;Lycée polyvalent Diderot;ILE-DE-FRANCE;CAP;29;80;
0750715V;Lycée général et technologique Maurice Ravel;ILE-DE-FRANCE;BTS;27;47;51
0750770E;Lycée professionnel Abbé Grégoire;ILE-DE-FRANCE;BAC;26;50;28
0750770E;Lycée professionnel Abbé Grégoire;ILE-DE-FRANCE;MC4;30;21;19
0750775K;Lycée professionnel Gustave Ferrié;ILE-DE-FRANCE;BAC;48;58;27
0750776L;Lycée professionnel Marie Laurencin - Lycée des métiers de la mode;ILE-DE-FRANCE;BAC;29;65;32
0750776L;Lycée professionnel Marie Laurencin - Lycée des métiers de la mode;ILE-DE-FRANCE;CAP;29;62;26
0750776L;Lycée professionnel Marie Laurencin - Lycée des métiers de la mode;ILE-DE-FRANCE;MC5;28;;
0750778N;Lycée Professionnel Turquetil - Lycée des métiers de la mode;ILE-DE-FRANCE;BAC;;56;37
0750778N;Lycée Professionnel Turquetil - Lycée des métiers de la mode;ILE-DE-FRANCE;CAP;46;67;50
0750783U;Lycée professionnel Chennevière Malezieux;ILE-DE-FRANCE;BAC;26;72;47
0750783U;Lycée professionnel Chennevière Malezieux;ILE-DE-FRANCE;BTS;40;43;49
0750783U;Lycée professionnel Chennevière Malezieux;ILE-DE-FRANCE;CAP;68;81;
0750783U;Lycée professionnel Chennevière Malezieux;ILE-DE-FRANCE;MC4;;66;
0750784V;Lycée professionnel Métiers de l'Ameublement;ILE-DE-FRANCE;BAC;;59;
0750784V;Lycée professionnel Métiers de l'Ameublement;ILE-DE-FRANCE;CAP;;76;
0750785W;Lycée professionnel Galilée;ILE-DE-FRANCE;BAC;;64;31
0750785W;Lycée professionnel Galilée;ILE-DE-FRANCE;BTS;21;;
0750787Y;Lycée professionnel Corvisart-Arts Graphiques;ILE-DE-FRANCE;BAC;;70;19
0750787Y;Lycée professionnel Corvisart-Arts Graphiques;ILE-DE-FRANCE;CAP;10;80;
0750787Y;Lycée professionnel Corvisart-Arts Graphiques;ILE-DE-FRANCE;MC5;24;;
0750788Z;Lycée professionnel Marcel Deprez - Lycée des métiers de l'électrotechnique;ILE-DE-FRANCE;BAC;;67;35
0750788Z;Lycée professionnel Marcel Deprez - Lycée des métiers de l'électrotechnique;ILE-DE-FRANCE;CAP;28;71;20
0750788Z;Lycée professionnel Marcel Deprez - Lycée des métiers de l'électrotechnique;ILE-DE-FRANCE;MC4;40;51;
0750793E;Lycée Professionnel Beaugrenelle - Lycée des métiers de la communication et de la gestion d'entreprise;ILE-DE-FRANCE;BAC;36;58;23
0750793E;Lycée Professionnel Beaugrenelle - Lycée des métiers de la communication et de la gestion d'entreprise;ILE-DE-FRANCE;BTS;24;0;75
0750794F;Lycée professionnel Brassai - Lycée des métiers de la photographie et de l'image;ILE-DE-FRANCE;BAC;;56;
0750796H;Lycée Professionnel Octave Feuilet - Lycée des métiers de la mode;ILE-DE-FRANCE;BAC;;76;
