n°UAI de l'établissement;Libellé de l'établissement;Région;Niveau de formation;;Taux de poursuite d'études;Taux d'emploi 6 mois après la sortie
0910715H;Lycée professionnel Jean Perrin, lycée des métiers de l'Industrie, du service à la personne et aux entreprises;ILE-DE-FRANCE;CAP;35;57;20
0910715H;Lycée professionnel Jean Perrin, lycée des métiers de l'Industrie, du service à la personne et aux entreprises;ILE-DE-FRANCE;MC4;21;33;
0910715H;Lycée professionnel Jean Perrin, lycée des métiers de l'Industrie, du service à la personne et aux entreprises;ILE-DE-FRANCE;MC5;25;;
0910727W;Lycée polyvalent Parc de Vilgenis, lycée des métiers de la mécatronique, de l'informatique et des services aux entreprises;ILE-DE-FRANCE;BAC;;62;27
0910727W;Lycée polyvalent Parc de Vilgenis, lycée des métiers de la mécatronique, de l'informatique et des services aux entreprises;ILE-DE-FRANCE;BTS;30;45;53
0910755B;Lycée professionnel Nadar, lycée des métiers de la sécurité de l'industrie et de la relation client;ILE-DE-FRANCE;BAC;30;51;36
0910755B;Lycée professionnel Nadar, lycée des métiers de la sécurité de l'industrie et de la relation client;ILE-DE-FRANCE;CAP;30;52;13
0910756C;Lycée professionnel Louis Armand, lycée des métiers administratifs et commerciaux;ILE-DE-FRANCE;BAC;22;54;31
0910756C;Lycée professionnel Louis Armand, lycée des métiers administratifs et commerciaux;ILE-DE-FRANCE;BTS;30;;
0910756C;Lycée professionnel Louis Armand, lycée des métiers administratifs et commerciaux;ILE-DE-FRANCE;CAP;;58;18
0910756C;Lycée professionnel Louis Armand, lycée des métiers administratifs et commerciaux;ILE-DE-FRANCE;MC4;29;;
0910808J;Lycée général et technologique privé Saint Charles;ILE-DE-FRANCE;BTS;;65;70
0910838S;Lycée polyvalent privé Beth Rivkah;ILE-DE-FRANCE;BAC;38;20;
0910843X;Lycée polyvalent privé St Pierre, lycée des métiers communication, gestion, mercatique, lycée des métiers d'hôtellerie, restauration, tourisme;ILE-DE-FRANCE;BAC;21;63;48
0910843X;Lycée polyvalent privé St Pierre, lycée des métiers communication, gestion, mercatique, lycée des métiers d'hôtellerie, restauration, tourisme;ILE-DE-FRANCE;BTS;59;56;59
0910975R;Lycée polyvalent Jean-Pierre Timbaud;ILE-DE-FRANCE;BAC;18;65;35
0910975R;Lycée polyvalent Jean-Pierre Timbaud;ILE-DE-FRANCE;BTS;40;42;62
0910975R;Lycée polyvalent Jean-Pierre Timbaud;ILE-DE-FRANCE;CAP;32;50;46
0911037H;Lycée professionnel André-Marie Ampère, Lycée des métiers du numérique et de la transition énergétique;ILE-DE-FRANCE;BAC;35;62;25
0911037H;Lycée professionnel André-Marie Ampère, Lycée des métiers du numérique et de la transition énergétique;ILE-DE-FRANCE;CAP;21;75;
0911037H;Lycée professionnel André-Marie Ampère, Lycée des métiers du numérique et de la transition énergétique;ILE-DE-FRANCE;MC4;21;;
0911251R;Lycée général et technologique Parc des Loges;ILE-DE-FRANCE;BTS;;51;43
0911254U;Lycée polyvalent Charles Baudelaire, lycée des métiers de la relation client, de la beauté, du soin et des services à la personne;ILE-DE-FRANCE;BAC;28;57;37
0911254U;Lycée polyvalent Charles Baudelaire, lycée des métiers de la relation client, de la beauté, du soin et des services à la personne;ILE-DE-FRANCE;BP;26;;
0911254U;Lycée polyvalent Charles Baudelaire, lycée des métiers de la relation client, de la beauté, du soin et des services à la personne;ILE-DE-FRANCE;BTS;;19;48
0911254U;Lycée polyvalent Charles Baudelaire, lycée des métiers de la relation client, de la beauté, du soin et des services à la personne;ILE-DE-FRANCE;CAP;28;54;26
0911264E;Lycée polyvalent privé - Section de Technicien Supérieur - Classes Préparatoires aux Grandes Ecoles d'Optométrie;ILE-DE-FRANCE;BTS;29;57;81
0911343R;Lycée professionnel Auguste Perret;ILE-DE-FRANCE;BAC;28;46;33
0911343R;Lycée professionnel Auguste Perret;ILE-DE-FRANCE;CAP;49;42;38
0911346U;Lycée général et technologique Albert Einstein;ILE-DE-FRANCE;BTS;30;56;54
0911353B;Etablissement régional d'enseignement adapté Jean Isoard;ILE-DE-FRANCE;CAP;28;43;11
0911401D;Lycée professionnel Nelson-Mandela;ILE-DE-FRANCE;BAC;17;50;27
0911401D;Lycée professionnel Nelson-Mandela;ILE-DE-FRANCE;CAP;22;37;18
0911492C;Lycée polyvalent L'Essouriau;ILE-DE-FRANCE;BAC;24;61;23
0911492C;Lycée polyvalent L'Essouriau;ILE-DE-FRANCE;BTS;36;29;53
0911492C;Lycée polyvalent L'Essouriau;ILE-DE-FRANCE;CAP;38;65;
0911493D;Lycée professionnel Les Frères Moreau;ILE-DE-FRANCE;BAC;31;49;39
0911493D;Lycée professionnel Les Frères Moreau;ILE-DE-FRANCE;CAP;29;46;12
0911577V;Lycée général et technologique Jacques Prévert;ILE-DE-FRANCE;BTS;33;41;60
0911578W;Lycée polyvalent Pierre Mendès France;ILE-DE-FRANCE;BAC;36;57;34
0911578W;Lycée polyvalent Pierre Mendès France;ILE-DE-FRANCE;CAP;29;44;10
0911632E;Lycée général et technologique René Cassin;ILE-DE-FRANCE;BTS;23;56;52
0911828T;Lycée polyvalent Georges Brassens, lycée des métiers du numérique et des arts appliqués;ILE-DE-FRANCE;BAC;21;65;31
0911828T;Lycée polyvalent Georges Brassens, lycée des métiers du numérique et des arts appliqués;ILE-DE-FRANCE;BTS;24;31;35
0911913K;Lycée général et technologique Vallée de Chevreuse;ILE-DE-FRANCE;BTS;40;49;48
0911937L;Lycée polyvalent François Truffaut;ILE-DE-FRANCE;BTS;19;30;43
0911945V;Lycée polyvalent Marguerite Yourcenar;ILE-DE-FRANCE;BAC;27;63;30
0911945V;Lycée polyvalent Marguerite Yourcenar;ILE-DE-FRANCE;CAP;20;54;
0911946W;Lycée polyvalent Léonard de Vinci;ILE-DE-FRANCE;BAC;24;51;22
0911946W;Lycée polyvalent Léonard de Vinci;ILE-DE-FRANCE;BTS;19;36;43
0911946W;Lycée polyvalent Léonard de Vinci;ILE-DE-FRANCE;CAP;29;48;10
0911961M;Lycée général et technologique Edmond Michelet;ILE-DE-FRANCE;BTS;35;43;25
0911962N;Lycée polyvalent Marie Laurencin;ILE-DE-FRANCE;BAC;16;57;31
0912117G;Lycée polyvalent privé Notre Dame de Sion;ILE-DE-FRANCE;BAC;24;;
0912142J;Lycée polyvalent Gaspard Monge, lycée des métiers de l'automobile et de la logistique;ILE-DE-FRANCE;BAC;;51;49
0912142J;Lycée polyvalent Gaspard Monge, lycée des métiers de l'automobile et de la logistique;ILE-DE-FRANCE;BTS;57;34;63
0912142J;Lycée polyvalent Gaspard Monge, lycée des métiers de l'automobile et de la logistique;ILE-DE-FRANCE;CAP;30;48;53
0912161E;Lycée polyvalent privé Saint Léon;ILE-DE-FRANCE;BAC;18;58;30
0912163G;Lycée polyvalent Paul Langevin, lycée des métiers de la gestion et de la relation client;ILE-DE-FRANCE;BAC;17;50;37
0912163G;Lycée polyvalent Paul Langevin, lycée des métiers de la gestion et de la relation client;ILE-DE-FRANCE;BTS;28;16;51
0912163G;Lycée polyvalent Paul Langevin, lycée des métiers de la gestion et de la relation client;ILE-DE-FRANCE;CAP;21;57;
0912251C;Lycée polyvalent Henri Poincare, lycée des métiers de l'aide à la personne;ILE-DE-FRANCE;BAC;16;53;33
0912251C;Lycée polyvalent Henri Poincare, lycée des métiers de l'aide à la personne;ILE-DE-FRANCE;BTS;28;36;52
0912251C;Lycée polyvalent Henri Poincare, lycée des métiers de l'aide à la personne;ILE-DE-FRANCE;CAP;9;59;
0912321D;Lycée polyvalent privé Saint-Martin;ILE-DE-FRANCE;BAC;17;59;19
0912364A;Lycée polyvalent Nikola Tesla;ILE-DE-FRANCE;BAC;16;52;34
0912364A;Lycée polyvalent Nikola Tesla;ILE-DE-FRANCE;BTS;31;35;53
0920130S;Lycée général et technologique Descartes;ILE-DE-FRANCE;BTS;28;61;57
0920134W;Lycée général et technologique Jacques Prévert;ILE-DE-FRANCE;BTS;31;41;58
0920135X;Lycée général et technologique Emmanuel Mounier;ILE-DE-FRANCE;BTS;21;35;54
0920136Y;Lycée polyvalent Newton-Enrea;ILE-DE-FRANCE;BAC;35;54;21
0920136Y;Lycée polyvalent Newton-Enrea;ILE-DE-FRANCE;BTS;34;29;53
0920136Y;Lycée polyvalent Newton-Enrea;ILE-DE-FRANCE;CAP;45;65;
0920137Z;Lycée général et technologique Guy de Maupassant;ILE-DE-FRANCE;BTS;35;37;63
0920138A;Lycée général et technologique Paul Lapie;ILE-DE-FRANCE;BTS;38;54;52
0920141D;Lycée polyvalent Joliot-Curie;ILE-DE-FRANCE;BAC;31;44;46
0920141D;Lycée polyvalent Joliot-Curie;ILE-DE-FRANCE;BP;21;;
0920141D;Lycée polyvalent Joliot-Curie;ILE-DE-FRANCE;BTS;;39;46
0920141D;Lycée polyvalent Joliot-Curie;ILE-DE-FRANCE;CAP;24;68;
0920144G;Lycée général et technologique L'Agora;ILE-DE-FRANCE;BTS;32;40;42
0920147K;Lycée général et technologique Paul Langevin;ILE-DE-FRANCE;BTS;9;41;51
0920150N;Lycée polyvalent de Prony, lycée des métiers du bois, de l'ébénisterie, de la technique de l'architecture et de l'habitat;ILE-DE-FRANCE;BAC;40;51;29
0920150N;Lycée polyvalent de Prony, lycée des métiers du bois, de l'ébénisterie, de la technique de l'architecture et de l'habitat;ILE-DE-FRANCE;BTS;29;20;57
0920150N;Lycée polyvalent de Prony, lycée des métiers du bois, de l'ébénisterie, de la technique de l'architecture et de l'habitat;ILE-DE-FRANCE;CAP;33;66;23
0920158X;Lycée professionnel La Tournelle, lycée des métiers du numérique, de l'électricité, de l'accueil, du commerce et de la gestion;ILE-DE-FRANCE;BAC;41;52;32
0920158X;Lycée professionnel La Tournelle, lycée des métiers du numérique, de l'électricité, de l'accueil, du commerce et de la gestion;ILE-DE-FRANCE;CAP;27;59;
0920163C;Lycée professionnel Louis Girard;ILE-DE-FRANCE;BAC;26;59;34
0920163C;Lycée professionnel Louis Girard;ILE-DE-FRANCE;CAP;25;;
0920163C;Lycée professionnel Louis Girard;ILE-DE-FRANCE;MC4;;19;55
0920164D;Lycée professionnel Jean Monnet , lycée des métiers des constructions et de la gestion administrative;ILE-DE-FRANCE;BAC;11;50;38
0920164D;Lycée professionnel Jean Monnet , lycée des métiers des constructions et de la gestion administrative;ILE-DE-FRANCE;BTS;51;45;64
0920164D;Lycée professionnel Jean Monnet , lycée des métiers des constructions et de la gestion administrative;ILE-DE-FRANCE;CAP;26;52;33
0920166F;Lycée professionnel Vassily Kandinsky, lycée des métiers de l'esthétique et des services à la personne;ILE-DE-FRANCE;BAC;34;60;29
0920166F;Lycée professionnel Vassily Kandinsky, lycée des métiers de l'esthétique et des services à la personne;ILE-DE-FRANCE;CAP;26;50;15
0920170K;Lycée polyvalent Florian, lycée des métiers de la vente et de la beauté;ILE-DE-FRANCE;BAC;27;62;37
0920170K;Lycée polyvalent Florian, lycée des métiers de la vente et de la beauté;ILE-DE-FRANCE;BTS;22;48;
0920170K;Lycée polyvalent Florian, lycée des métiers de la vente et de la beauté;ILE-DE-FRANCE;CAP;23;66;12
0920170K;Lycée polyvalent Florian, lycée des métiers de la vente et de la beauté;ILE-DE-FRANCE;MC5;24;;
0920171L;Lycée professionnel Louis Blériot, lycée des métiers de l'énergie;ILE-DE-FRANCE;BAC;;44;31
0920171L;Lycée professionnel Louis Blériot, lycée des métiers de l'énergie;ILE-DE-FRANCE;BTS;48;20;
0920171L;Lycée professionnel Louis Blériot, lycée des métiers de l'énergie;ILE-DE-FRANCE;CAP;;57;28
0920429S;Etablissement régional d'enseignement adapté Martin Luther King;ILE-DE-FRANCE;CAP;44;61;20
0920680P;Lycée professionnel Léonard de Vinci;ILE-DE-FRANCE;BAC;15;59;26
0920680P;Lycée professionnel Léonard de Vinci;ILE-DE-FRANCE;CAP;38;35;
0920680P;Lycée professionnel Léonard de Vinci;ILE-DE-FRANCE;MC4;60;;
0920799U;Lycée général et technologique Richelieu;ILE-DE-FRANCE;BTS;;27;51
0920802X;Lycée général et technologique Jean-Pierre Vernant;ILE-DE-FRANCE;BTS;29;48;60
0920810F;Etablissement régional d'enseignement adapté Jean Monnet;ILE-DE-FRANCE;BAC;37;73;
0920810F;Etablissement régional d'enseignement adapté Jean Monnet;ILE-DE-FRANCE;CAP;;59;
0920894X;Lycée général et technologique privé Saint Gabriel;ILE-DE-FRANCE;BTS;;51;45
0920897A;Lycée général et technologique privé Notre Dame;ILE-DE-FRANCE;BTS;33;65;50
0920928J;Lycée général et technologique privé La Salle Passy Buzenval;ILE-DE-FRANCE;BTS;23;48;
0920963X;Lycée professionnel privé Saint François d'Assise;ILE-DE-FRANCE;BAC;11;58;26
0920963X;Lycée professionnel privé Saint François d'Assise;ILE-DE-FRANCE;CAP;28;55;
0920981S;Lycée professionnel privé Saint Philippe;ILE-DE-FRANCE;BAC;27;38;
0920981S;Lycée professionnel privé Saint Philippe;ILE-DE-FRANCE;CAP;27;45;62
0920985W;Lycée polyvalent privé La Trinité;ILE-DE-FRANCE;BAC;32;58;27
0921156G;Lycée polyvalent Galilée, lycée des métiers de la chimie,  de la plasturgie et des biotechnologies;ILE-DE-FRANCE;BAC;14;51;
0921156G;Lycée polyvalent Galilée, lycée des métiers de la chimie,  de la plasturgie et des biotechnologies;ILE-DE-FRANCE;BTS;83;52;39
0921156G;Lycée polyvalent Galilée, lycée des métiers de la chimie,  de la plasturgie et des biotechnologies;ILE-DE-FRANCE;CAP;26;;
0921166T;Lycée polyvalent Jean Jaurès, lycée des métiers de la santé et du social;ILE-DE-FRANCE;BAC;;62;30
0921166T;Lycée polyvalent Jean Jaurès, lycée des métiers de la santé et du social;ILE-DE-FRANCE;BTS;36;34;48
0921166T;Lycée polyvalent Jean Jaurès, lycée des métiers de la santé et du social;ILE-DE-FRANCE;CAP;39;47;25
0921229L;Lycée polyvalent Anatole-France, lycée des métiers de l'électrotechnique, des services et de la tapisserie d'ameublement;ILE-DE-FRANCE;BAC;39;38;34
0921229L;Lycée polyvalent Anatole-France, lycée des métiers de l'électrotechnique, des services et de la tapisserie d'ameublement;ILE-DE-FRANCE;BTS;34;41;57
0921229L;Lycée polyvalent Anatole-France, lycée des métiers de l'électrotechnique, des services et de la tapisserie d'ameublement;ILE-DE-FRANCE;CAP;42;65;32
0921230M;Lycée polyvalent Léonard de Vinci, lycée des métiers de la micro-technologie, de l'optique et des services aux entreprises;ILE-DE-FRANCE;BAC;29;51;30
0921230M;Lycée polyvalent Léonard de Vinci, lycée des métiers de la micro-technologie, de l'optique et des services aux entreprises;ILE-DE-FRANCE;BTS;31;30;54
0921399W;Lycée général et technologique Maurice Genevoix;ILE-DE-FRANCE;BTS;58;43;
0921484N;Lycée polyvalent privé Montalembert;ILE-DE-FRANCE;BTS;;59;38
0921500F;Lycée professionnel Voilin, lycée des métiers de l'accueil, de la vente et des services aux entreprises;ILE-DE-FRANCE;BAC;16;53;29
0921500F;Lycée professionnel Voilin, lycée des métiers de l'accueil, de la vente et des services aux entreprises;ILE-DE-FRANCE;CAP;33;47;33
0921505L;Lycée professionnel Louis Dardenne;ILE-DE-FRANCE;BAC;30;55;33
0921505L;Lycée professionnel Louis Dardenne;ILE-DE-FRANCE;CAP;20;50;
0921592F;Lycée professionnel Les Cotes de Villebon, lycée des métiers de bouche, du commerce et de l'industrie;ILE-DE-FRANCE;BAC;10;48;39
0921592F;Lycée professionnel Les Cotes de Villebon, lycée des métiers de bouche, du commerce et de l'industrie;ILE-DE-FRANCE;BTS;41;;
0921592F;Lycée professionnel Les Cotes de Villebon, lycée des métiers de bouche, du commerce et de l'industrie;ILE-DE-FRANCE;CAP;;56;27
0921592F;Lycée professionnel Les Cotes de Villebon, lycée des métiers de bouche, du commerce et de l'industrie;ILE-DE-FRANCE;MC5;31;14;58
0921594H;Lycée général et technologique Michel Ange;ILE-DE-FRANCE;BTS;32;35;43
0921595J;Lycée professionnel Daniel Balavoine;ILE-DE-FRANCE;BAC;37;44;24
0921595J;Lycée professionnel Daniel Balavoine;ILE-DE-FRANCE;CAP;39;79;
0921595J;Lycée professionnel Daniel Balavoine;ILE-DE-FRANCE;MC4;58;30;
0921625S;Lycée professionnel Paul Painlevé, lycée des métiers du commerce, de la communication et de la gestion;ILE-DE-FRANCE;BAC;30;42;34
0921625S;Lycée professionnel Paul Painlevé, lycée des métiers du commerce, de la communication et de la gestion;ILE-DE-FRANCE;MC4;34;19;23
0921626T;Lycée professionnel Claude Chappe;ILE-DE-FRANCE;BAC;26;43;25
0921626T;Lycée professionnel Claude Chappe;ILE-DE-FRANCE;CAP;25;47;24
0921676X;Lycée professionnel Théodore Monod, lycée des métiers de l'hôtellerie et des services à vocation internationale;ILE-DE-FRANCE;BAC;39;65;35
0921676X;Lycée professionnel Théodore Monod, lycée des métiers de l'hôtellerie et des services à vocation internationale;ILE-DE-FRANCE;BTS;37;24;61
0921676X;Lycée professionnel Théodore Monod, lycée des métiers de l'hôtellerie et des services à vocation internationale;ILE-DE-FRANCE;CAP;45;46;29
0921676X;Lycée professionnel Théodore Monod, lycée des métiers de l'hôtellerie et des services à vocation internationale;ILE-DE-FRANCE;MC5;32;27;30
0921932A;Lycée professionnel privé La Salle Passy Buzenval;ILE-DE-FRANCE;BAC;37;75;
0921935D;Etablissement régional d'enseignement adapté Toulouse Lautrec;ILE-DE-FRANCE;BTS;24;49;42
0922149L;Lycée polyvalent  Auffray, lycée des métiers de l'hôtellerie-tourisme, de la santé et du social;ILE-DE-FRANCE;BAC;11;56;34
0922149L;Lycée polyvalent  Auffray, lycée des métiers de l'hôtellerie-tourisme, de la santé et du social;ILE-DE-FRANCE;BTS;39;33;49
0922149L;Lycée polyvalent  Auffray, lycée des métiers de l'hôtellerie-tourisme, de la santé et du social;ILE-DE-FRANCE;CAP;41;44;42
0922149L;Lycée polyvalent  Auffray, lycée des métiers de l'hôtellerie-tourisme, de la santé et du social;ILE-DE-FRANCE;MC4;40;20;
0922249V;Lycée polyvalent Montesquieu;ILE-DE-FRANCE;BAC;25;61;26
0922249V;Lycée polyvalent Montesquieu;ILE-DE-FRANCE;BTS;24;;
0922276Z;Lycée polyvalent Santos Dumont, lycée des métiers de l'hôtellerie et de la gestion des entreprises;ILE-DE-FRANCE;BAC;;52;37
0922276Z;Lycée polyvalent Santos Dumont, lycée des métiers de l'hôtellerie et de la gestion des entreprises;ILE-DE-FRANCE;BTS;47;56;47
0922276Z;Lycée polyvalent Santos Dumont, lycée des métiers de l'hôtellerie et de la gestion des entreprises;ILE-DE-FRANCE;CAP;28;72;48
0922276Z;Lycée polyvalent Santos Dumont, lycée des métiers de l'hôtellerie et de la gestion des entreprises;ILE-DE-FRANCE;MC5;30;;
0922277A;Lycée polyvalent Charles Petiet;ILE-DE-FRANCE;BAC;;43;35
0922277A;Lycée polyvalent Charles Petiet;ILE-DE-FRANCE;BTS;46;;
0922277A;Lycée polyvalent Charles Petiet;ILE-DE-FRANCE;CAP;;53;29
0922398G;Lycée polyvalent Gustave Eiffel, lycée des métiers de la santé, de la communication et du commerce;ILE-DE-FRANCE;BAC;26;60;29
0922398G;Lycée polyvalent Gustave Eiffel, lycée des métiers de la santé, de la communication et du commerce;ILE-DE-FRANCE;BTS;22;33;58
0922427N;Lycée polyvalent Claude Garamont, lycée des métiers de la chaîne graphiques;ILE-DE-FRANCE;BAC;35;56;19
0922427N;Lycée polyvalent Claude Garamont, lycée des métiers de la chaîne graphiques;ILE-DE-FRANCE;BTS;12;14;50
0922443F;Lycée polyvalent  Etienne-Jules Marey, lycée des métiers de la petite enfance et des soins à la personne;ILE-DE-FRANCE;BAC;45;51;31
0922443F;Lycée polyvalent  Etienne-Jules Marey, lycée des métiers de la petite enfance et des soins à la personne;ILE-DE-FRANCE;BTS;28;;
0922443F;Lycée polyvalent  Etienne-Jules Marey, lycée des métiers de la petite enfance et des soins à la personne;ILE-DE-FRANCE;CAP;;82;
0922464D;Lycée polyvalent Louise Michel;ILE-DE-FRANCE;BAC;24;50;26
0922464D;Lycée polyvalent Louise Michel;ILE-DE-FRANCE;BTS;42;30;57
0922464D;Lycée polyvalent Louise Michel;ILE-DE-FRANCE;CAP;35;;
0922464D;Lycée polyvalent Louise Michel;ILE-DE-FRANCE;MC5;;;
0922653J;Lycée polyvalent privé la Salle Saint Nicolas, lycée des métiers;ILE-DE-FRANCE;BAC;;60;41
0922653J;Lycée polyvalent privé la Salle Saint Nicolas, lycée des métiers;ILE-DE-FRANCE;BTS;18;35;39
0922653J;Lycée polyvalent privé la Salle Saint Nicolas, lycée des métiers;ILE-DE-FRANCE;CAP;24;67;
0930116W;Lycée général et technologique Henri Wallon;ILE-DE-FRANCE;BTS;24;33;58
0930117X;Lycée général et Technologique Le Corbusier;ILE-DE-FRANCE;BTS;49;28;47
0930118Y;Lycée général et technologique Jean Renoir;ILE-DE-FRANCE;BTS;48;35;48
0930119Z;Lycée polyvalent Eugène Delacroix;ILE-DE-FRANCE;BAC;42;56;38
0930119Z;Lycée polyvalent Eugène Delacroix;ILE-DE-FRANCE;BTS;19;34;53
0930119Z;Lycée polyvalent Eugène Delacroix;ILE-DE-FRANCE;CAP;38;84;
0930120A;Lycée général et technologique Jacques Feyder;ILE-DE-FRANCE;BTS;;24;53
0930121B;Lycée enseignement général et technologique Jean Jaurès;ILE-DE-FRANCE;BTS;42;35;46
0930122C;Lycée général et technologique Condorcet;ILE-DE-FRANCE;BTS;34;33;43
0930123D;Lycée général et technologique Olympe de Gouges;ILE-DE-FRANCE;BTS;38;25;
0930125F;Lycée enseignement général et technologique Paul Eluard;ILE-DE-FRANCE;BTS;;33;52
0930126G;Lycée polyvalent Auguste Blanqui;ILE-DE-FRANCE;BAC;36;72;33
0930126G;Lycée polyvalent Auguste Blanqui;ILE-DE-FRANCE;BTS;26;40;54
0930127H;Lycée général et technologique Clémenceau;ILE-DE-FRANCE;BTS;22;28;50
0930128J;Lycée professionnel Denis Papin;ILE-DE-FRANCE;BAC;35;45;20
0930128J;Lycée professionnel Denis Papin;ILE-DE-FRANCE;CAP;42;69;19
0930129K;Lycée professionnel Madeleine Vionnet;ILE-DE-FRANCE;BAC;27;52;25
0930129K;Lycée professionnel Madeleine Vionnet;ILE-DE-FRANCE;BTS;34;12;40
0930130L;Lycée professionnel Condorcet - Lycée des métiers du traitement de surface des matériaux - Lycée des métiers de maintenance et après-vente automobile;ILE-DE-FRANCE;BAC;28;59;22
0930133P;Lycée professionnel Théodore Monod - Lycée des métiers du commerce et de la vente;ILE-DE-FRANCE;BAC;34;45;24
0930133P;Lycée professionnel Théodore Monod - Lycée des métiers du commerce et de la vente;ILE-DE-FRANCE;CAP;36;63;18
0930133P;Lycée professionnel Théodore Monod - Lycée des métiers du commerce et de la vente;ILE-DE-FRANCE;MC4;25;16;33
0930135S;Lycée professionnel Simone Weil;ILE-DE-FRANCE;BAC;24;48;27
0930136T;Lycée polyvalent Claude-Nicolas Ledoux - Lycée des métiers de l'éco-construction et de la décoration;ILE-DE-FRANCE;BAC;30;54;35
0930136T;Lycée polyvalent Claude-Nicolas Ledoux - Lycée des métiers de l'éco-construction et de la décoration;ILE-DE-FRANCE;CAP;89;36;24
0930138V;Lycée professionnel Frédéric Bartholdi;ILE-DE-FRANCE;BAC;50;55;27
0930138V;Lycée professionnel Frédéric Bartholdi;ILE-DE-FRANCE;CAP;37;69;10
0930138V;Lycée professionnel Frédéric Bartholdi;ILE-DE-FRANCE;MC5;32;;
0930830X;Lycée général et technologique Albert Schweitzer;ILE-DE-FRANCE;BTS;;58;54
0930831Y;Lycée professionnel Aristide Briand - Lycée des métiers de l'aérien;ILE-DE-FRANCE;BAC;24;50;38
0930831Y;Lycée professionnel Aristide Briand - Lycée des métiers de l'aérien;ILE-DE-FRANCE;CAP;26;36;13
0930831Y;Lycée professionnel Aristide Briand - Lycée des métiers de l'aérien;ILE-DE-FRANCE;MC4;42;24;
0930833A;Lycée enseignement général et technologique Jean Zay;ILE-DE-FRANCE;BTS;56;38;53
0930834B;Lycée général et technologique Voillaume;ILE-DE-FRANCE;BTS;32;30;49
0930846P;Lycée professionnel Voillaume, Lyc métiers management, gestion, administration communication - Lyc métiers conception réalisation systèmes industriels;ILE-DE-FRANCE;BAC;39;53;37
0930929E;Lycée professionnel privé Jeanne la Lorraine;ILE-DE-FRANCE;BAC;21;42;26
0930933J;Lycée polyvalent privé Assomption;ILE-DE-FRANCE;BAC;26;67;17
0930936M;Lycée polyvalent privé Saint Benoist de l'Europe;ILE-DE-FRANCE;BAC;9;62;
0930946Y;Lycée professionnel privé Saint Vincent de Paul;ILE-DE-FRANCE;BAC;19;61;11
0930960N;Lycée professionnel privé ORT;ILE-DE-FRANCE;BAC;21;56;59
0931024H;Lycée professionnel Jean-Pierre Timbaud;ILE-DE-FRANCE;BAC;41;53;33
0931024H;Lycée professionnel Jean-Pierre Timbaud;ILE-DE-FRANCE;BTS;37;59;
0931024H;Lycée professionnel Jean-Pierre Timbaud;ILE-DE-FRANCE;CAP;;43;19
0931026K;Lycée polyvalent privé Protectorat Saint Joseph;ILE-DE-FRANCE;BAC;34;76;
0931026K;Lycée polyvalent privé Protectorat Saint Joseph;ILE-DE-FRANCE;BTS;21;47;56
0931193S;Lycée professionnel Hélène Boucher - Lycée des métiers du transport;ILE-DE-FRANCE;BAC;29;64;35
0931198X;Lycée professionnel Alfred Costes - Lycée des métiers de la communication et de l'industrie graphique;ILE-DE-FRANCE;BAC;42;66;20
0931233K;Lycée professionnel Jean-Baptiste Clément - Lycée des métiers de la vente et du commerce;ILE-DE-FRANCE;BAC;21;44;26
0931233K;Lycée professionnel Jean-Baptiste Clément - Lycée des métiers de la vente et du commerce;ILE-DE-FRANCE;CAP;45;61;21
0931272C;Lycée général et technologique Gustave Eiffel;ILE-DE-FRANCE;BTS;38;38;55
0931369H;Lycée professionnel privé Françoise Cabrini - Lycée des métiers de la vente;ILE-DE-FRANCE;BAC;41;67;26
0931369H;Lycée professionnel privé Françoise Cabrini - Lycée des métiers de la vente;ILE-DE-FRANCE;CAP;34;52;
0931430Z;Lycée général et technologique Jacques Brel;ILE-DE-FRANCE;BTS;32;34;45
0931565W;Lycée général et technologique Flora Tristan;ILE-DE-FRANCE;BTS;46;51;54
0931573E;Lycée professionnel privé Robert Schuman;ILE-DE-FRANCE;BAC;42;82;20
0931584S;Lycée polyvalent Jean Rostand;ILE-DE-FRANCE;BAC;19;60;
0931584S;Lycée polyvalent Jean Rostand;ILE-DE-FRANCE;BTS;24;28;38
0931585T;Lycée général et technologique André Boulloche;ILE-DE-FRANCE;BTS;25;38;53
0931613Y;Lycée général et technologique Louise Michel;ILE-DE-FRANCE;BTS;23;18;56
0931735F;Lycée professionnel Louise Michel - Lycée des métiers de la vente et du commerce;ILE-DE-FRANCE;BAC;28;43;30
0931735F;Lycée professionnel Louise Michel - Lycée des métiers de la vente et du commerce;ILE-DE-FRANCE;CAP;32;39;11
0931738J;Lycée professionnel Arthur Rimbaud;ILE-DE-FRANCE;BAC;35;51;37
0931739K;Lycée professionnel Jean Moulin;ILE-DE-FRANCE;BAC;35;50;21
0931739K;Lycée professionnel Jean Moulin;ILE-DE-FRANCE;CAP;40;52;18
0931739K;Lycée professionnel Jean Moulin;ILE-DE-FRANCE;MC5;20;0;45
0931779D;Lycée de l'Horticulture et du Paysage Jeanne Baret;ILE-DE-FRANCE;BAC;36;40;26
0931779D;Lycée de l'Horticulture et du Paysage Jeanne Baret;ILE-DE-FRANCE;BTS;69;39;53
0931779D;Lycée de l'Horticulture et du Paysage Jeanne Baret;ILE-DE-FRANCE;CAP;48;57;26
0931796X;Lycée enseignement général et technologique privé O R T;ILE-DE-FRANCE;BTS;39;52;67
