"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"auditeur / auditrice interne";https://www.onisep.fr/http/redirection/metier/slug/MET.81;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";M1202;"Audit et contrôle comptables et financiers";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1202;"gestion des entreprises, comptabilité/administration de l'entreprise| informatique, Internet/informatique (généralités)"
"auxiliaire de puériculture";https://www.onisep.fr/http/redirection/metier/slug/MET.415;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1304;"Aide en puériculture";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1304;"santé, social, sport/paramédical"
"avocat / avocate";https://www.onisep.fr/http/redirection/metier/slug/MET.33;"Les métiers du droit";Parcours;2020;9782273015202;"GFE W : droit, enseignement, recherche et sciences humaines";K1903;"Défense et conseil juridique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1903;"économie, droit, politique/activité judiciaire"
"berger / bergère";https://www.onisep.fr/http/redirection/metier/slug/MET.7915;;"pas de publication Onisep spécifique";;;"GFE A : agriculture";A1410;"Élevage ovin ou caprin";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1410;"agriculture, animaux/élevage, aquaculture"
bibliothécaire;https://www.onisep.fr/http/redirection/metier/slug/MET.44;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K1601;"Gestion de l'information et de la documentation";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1601;"information-communication, audiovisuel/bibliothèque, documentation"
"BIM manager";https://www.onisep.fr/http/redirection/metier/slug/MET.902;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"construction, architecture, travaux publics/génie civil| informatique, Internet/informatique (généralités)| informatique, Internet/informatique industrielle et technologique| construction, architecture, travaux publics/travaux publics"
"bio-informaticien / bio-informaticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.201;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"sciences/biologie| informatique, Internet/informatique (généralités)| santé, social, sport/santé (généralités)"
"biostatisticien / biostatisticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.126;"Mathématiques, statistiques et informatique";"Zoom sur les métiers";2021;9782273015547;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2402;"sciences/biologie| informatique, Internet/informatique (généralités)| sciences/mathématiques| santé, social, sport/santé (généralités)"
"bottier / bottière";https://www.onisep.fr/http/redirection/metier/slug/MET.447;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE L : textile, habillement, cuir";B1802;"Réalisation d'articles en cuir et matériaux souples (hors vêtement)";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=B1802;"matières premières, fabrication, industries/textile, habillement"
"brancardier / brancardière";https://www.onisep.fr/http/redirection/metier/slug/MET.635;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1301;"Personnel polyvalent des services hospitaliers";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1301;"santé, social, sport/travail social"
